AG|2
AL|0
AN|0
AO|0
AP|2
AQ|0
AR|0
AT|2
AV|0
BA|2
BG|0
BI|0
BL|2
BN|0
BO|0
BR|0
BS|0
BZ|2
CA|0
CB|0
CE|2
CH|0
CL|2
CN|0
CO|0
CR|0
CS|0
CT|0
CZ|0
EN|0
FC|0
FE|0
FG|0
FI|0
FR|0
GE|0
GO|0
GR|0
IM|0
IS|0
KR|0
LC|0
LE|0
LI|0
LO|0
LT|0
LU|0
MC|0
ME|0
MI|0
MN|0
MO|0
MS|0
MT|0
NA|0
NO|0
NU|0
OR|0
PA|0
PC|0
PD|0
PE|0
PG|0
PI|0
PN|0
PO|0
PR|0
PT|0
PU|0
PV|0
PZ|0
RA|0
RC|0
RE|0
RG|0
RI|0
RM|0
RN|0
RO|0
SA|0
SI|0
SO|0
SP|0
SR|0
SS|0
SV|0
TA|0
TE|0
TN|0
TO|0
TP|0
TR|0
TS|0
TV|0
UD|0
VA|0
VB|0
VC|0
VE|0
VI|0
VR|0
VT|0
VV|0
